Brand Name,Type,Rank,Harvest Location,Manufacturing Process,Health Claims,Average Price,Consumer Reviews,Brew Process,Caffeine Level
,,,,,Pros/Cons,,Sentiment Analysis,,
Subtle Earth Organic Coffee,Coffee,10,,,,,,,
Ethiopian Yirgacheffe Whole Bean,Coffee,9,,,,,,,
Dunkin Donuts Medium Roast Blend,Coffee,8,,,,,,,
Lavazza Super Creama Expresso,Coffee,7,,,,,,,
Krkland Columbian Coffee ,Coffee,6,,,,,,,
Koffee Kult Dark Roast,Coffee,5,,,,,,,
Valhalla Java Ground,Coffee,4,,,,,,,
Death Wish Ground Coffee,Coffee,3,,,,,,,
Koffee Kult Thunder Bolt,Coffee,2,,,,,,,
Rainforst Alliance,Coffee,1,,,,,,,
Vahadam High Mountain Oolong Tea,Tea,10,,,,,,,
TEAki Hut Organic Matcha Tea,Tea,9,,,,,,,
Matcha Organics,Tea,8,,,,,,,
Baetea,Tea,7,,,,,,,
Yogi Caramel Apple Spice,Tea,6,,,,,,,
Yogi Green Tea Blueberry,Tea,5,,,,,,,
Pure Tea Teatox,Tea,4,,,,,,,
Yogi Teas Detox,Tea,3,,,,,,,
Hyleys,Tea,2,,,,,,,
Masala Chai Oolong tea,Tea,1,,,,,,,
